home_team,away_team,result,home_lineup,away_lineup
Chelsea,Sunderland,home,Thibaut Courtois - John Terry - César Azpilicueta - David Luiz - Marcos Alonso - Cesc Fàbregas - N'Golo Kanté - Victor Moses - Eden Hazard - Willian - Diego Costa - ,Jordan Pickford - Billy Jones - Joleon Lescott - John O'Shea - Bryan Oviedo - Lee Cattermole - Sebastian Larsson - Jack Rodwell - Javier Manquillo - Fabio Borini - Adnan Januzaj - 
Hull City,Tottenham Hotspur,away,David Marshall - Curtis Davies - Andrea Ranocchia - Michael Dawson - Tom Huddlestone - Alfred N'Diaye - Omar Elabdellaoui - Josh Tymon - Sam Clucas - Jarrod Bowen - Oumar Niasse - ,Hugo Lloris - Kieran Trippier - Toby Alderweireld - Jan Vertonghen - Ben Davies - Son Heung-Min - Victor Wanyama - Eric Dier - Dele Alli - Christian Eriksen - Harry Kane   - 
Leicester City,AFC Bournemouth,tie,Kasper Schmeichel - Danny Simpson - Ben Chilwell - Christian Fuchs - Yohan Benalouane - Andy King - Marc Albrighton - Wilfred Ndidi - Riyad Mahrez - Jamie Vardy - Islam Slimani - ,Ryan Allsop - Simon Francis - Steve Cook - Charlie Daniels - Adam Smith - Dan Gosling - Andrew Surman - Marc Pugh - Junior Stanislas - Lys Mousset - Ryan Fraser - 
Liverpool,Middlesbrough,home,Simon Mignolet - Nathaniel Clyne - Dejan Lovren - James Milner - Joel Matip - Georginio Wijnaldum - Philippe Coutinho - Adam Lallana - Emre Can - Roberto Firmino - Daniel Sturridge - ,Brad Guzan - Fabio - George Friend - Ben Gibson - Calum Chambers - Grant Leadbitter - Adam Clayton - Adam Forshaw - Patrick Bamford - Rudy Gestede - Stewart Downing - 
Manchester United,Crystal Palace,home,Joel Pereira - Eric Bailly - Phil Jones - Timothy Fosu-Mensah - Demetri Mitchell - Paul Pogba - Axel Tuanzebe - Scott McTominay - Josh Harrop - Wayne Rooney - Jesse Lingard - ,Wayne Hennessey - Joel Ward - James Tomkins - Jeffrey Schlupp - Martin Kelly - Luka Milivojevic - James McArthur - Jason Puncheon - Patrick van Aanholt - Wilfried Zaha - Christian Benteke - 
Southampton,Stoke City,away,Fraser Forster - Cédric Soares - Maya Yoshida - Ryan Bertrand - Jack Stephens - Steven Davis - Dusan Tadic - Oriol Romeu - James Ward-Prowse - Nathan Redmond - Charlie Austin - ,Jack Butland - Bruno Martins Indi - Ryan Shawcross - Geoff Cameron - Erik Pieters - Joe Allen - Glenn Whelan - Mame Biram Diouf - Xherdan Shaqiri - Peter Crouch - Ramadan Sobhi - 
Swansea City,West Bromwich Albion,home,Kristoffer Nordfeldt - Martin Olsson - Alfie Mawson - Federico Fernández - Kyle Naughton - Leon Britton - Leroy Fer - Tom Carroll - Fernando Llorente - Jordan Ayew - Gylfi Sigurdsson - ,Ben Foster - Jonny Evans - Marc Wilson - Craig Dawson - Allan-Roméo Nyom - Claudio Yacob - Jake Livermore - Chris Brunt - Darren Fletcher - James Morrison - Salomón Rondón - 
Watford,Manchester City,away,Heurelho Gomes - Daryl Janmaat - Valon Behrami - José Holebas - Brandon Mason - Nordin Amrabat - Tom Cleverley - Abdoulaye Doucouré - Etienne Capoue - M'Baye Niang - Stefano Okaka - ,Willy Caballero - Vincent Kompany - Gaël Clichy - Fernandinho - Nicolás Otamendi - Gabriel Jesus - Kevin De Bruyne - Leroy Sané - David Silva - Yaya Touré - Sergio Agüero  - 
Arsenal,Leicester City,home,Petr Cech - Rob Holding - Nacho Monreal - Sead Kolasinac - Héctor Bellerín - Mohamed Elneny - Alex Oxlade-Chamberlain - Granit Xhaka - Alexandre Lacazette - Mesut Özil - Danny Welbeck - ,Kasper Schmeichel - Danny Simpson - Wes Morgan - Harry Maguire - Christian Fuchs - Marc Albrighton - Matty James - Wilfred Ndidi - Riyad Mahrez - Jamie Vardy  - Shinji Okazaki - 
Brighton and Hove Albion,Manchester City,away,Mat Ryan - Bruno - Shane Duffy - Lewis DunkOwn  - Markus Suttner - Dale Stephens - Solly March - Davy Pröpper - Isaiah Brown - Pascal Groß - Tomer Hemed - ,Ederson - Vincent Kompany - John Stones - Nicolás Otamendi - Kyle Walker - Danilo - Kevin De Bruyne - David Silva - Fernandinho - Gabriel Jesus - Sergio Agüero - 
Chelsea,Burnley,away,Thibaut Courtois - Antonio Rüdiger - Gary Cahill - David Luiz  - Marcos Alonso - Cesc Fàbregas  - N'Golo Kanté - César Azpilicueta - Willian - Michy Batshuayi - Jeremie Boga - ,Tom Heaton - Matthew Lowton - James Tarkowski - Ben Mee - Stephen Ward - Jack Cork - Jóhann Gudmundsson - Robbie Brady - Steven Defour - Sam Vokes  - Jeff Hendrick - 
Crystal Palace,Huddersfield Town,away,Wayne Hennessey - Scott Dann - Timothy Fosu-Mensah - Jairo Riedewald - Joel WardOwn  - Patrick van Aanholt - Luka Milivojevic - Jason Puncheon - Ruben Loftus-Cheek - Wilfried Zaha - Christian Benteke - ,Jonas Lössl - Tommy Smith - Chris Löwe - Zanka - Christopher Schindler - Philip Billing - Elias Kachunga - Aaron Mooy - Tom Ince - Kasey Palmer - Steve Mounie   - 
Everton,Stoke City,home,Jordan Pickford - Ashley Williams - Michael Keane - Phil Jagielka - Leighton Baines - Dominic Calvert-Lewin - Idrissa Gueye - Morgan Schneiderlin - Sandro Ramírez - Wayne Rooney - Davy Klaassen - ,Jack Butland - Kurt Zouma - Ryan Shawcross - Geoff Cameron - Erik Pieters - Joe Allen - Mame Biram Diouf - Darren Fletcher - Saido Berahino - Xherdan Shaqiri - Bojan - 
Manchester United,West Ham United,home,David de Gea - Eric Bailly - Phil Jones - Daley Blind - Luis Antonio Valencia - Paul Pogba - Juan Mata - Marcus Rashford - Henrikh Mkhitaryan - Nemanja Matic - Romelu Lukaku  - ,Joe Hart - Pablo Zabaleta - Winston Reid - Angelo Ogbonna - Arthur Masuaku - Marko Arnautovic - Pedro Obiang - Mark Noble - André Ayew - Edimilson Fernandes - Chicharito - 
Newcastle United,Tottenham Hotspur,away,Robert Elliot - Ciaran Clark - Paul Dummett - Javier Manquillo - Florian Lejeune - Jonjo Shelvey - Matt Ritchie - Isaac Hayden - Ayoze Pérez - Christian Atsu - Dwight Gayle - ,Hugo Lloris - Toby Alderweireld - Jan Vertonghen - Kyle Walker-Peters - Ben Davies  - Eric Dier - Moussa Sissoko - Mousa Dembélé - Dele Alli - Christian Eriksen - Harry Kane - 
Southampton,Swansea City,tie,Fraser Forster - Cédric Soares - Maya Yoshida - Jack Stephens - Ryan Bertrand - Steven Davis - Dusan Tadic - Oriol Romeu - James Ward-Prowse - Nathan Redmond - Manolo Gabbiadini - ,Lukasz Fabianski - Martin Olsson - Federico Fernández - Alfie Mawson - Kyle Naughton - Leon Britton - Leroy Fer - Tom Carroll - Wayne Routledge - Tammy Abraham - Jordan Ayew - 
Watford,Liverpool,tie,Heurelho Gomes - Daryl Janmaat - Miguel Britos - Younes Kaboul - José Holebas - Tom Cleverley - Nathaniel Chalobah - Abdoulaye Doucouré - Nordin Amrabat - Stefano Okaka - Roberto Pereyra - ,Simon Mignolet - Dejan Lovren - Alberto Moreno - Joel Matip - Trent Alexander-Arnold - Georginio Wijnaldum - Jordan Henderson - Emre Can - Roberto FirminoPen. Scored - Sadio Mané  - Mohamed Salah - 
West Bromwich Albion,AFC Bournemouth,home,Ben Foster - Allan-Roméo Nyom - Chris Brunt - Craig Dawson - Ahmed Hegazi - Claudio Yacob - Jake Livermore - Matt Phillips - James McClean - Sam Field - Jay Rodriguez - ,Asmir Begovic - Simon Francis - Steve Cook - Nathan Aké - Charlie Daniels - Andrew Surman - Marc Pugh - Harry Arter - Ryan Fraser - Joshua King - Benik Afobe - 
AFC Bournemouth,Watford,away,Asmir Begovic - Steve Cook - Nathan Aké - Charlie Daniels - Adam Smith - Andrew Surman - Harry Arter - Jordon Ibe - Ryan Fraser - Joshua King - Benik Afobe - ,Heurelho Gomes - Miguel Britos - Sebastian Prödl - Kiko Femenía - José Holebas - Tom Cleverley - Nathaniel Chalobah - Abdoulaye Doucouré - Nordin Amrabat - Richarlison - Andre Gray - 
Burnley,West Bromwich Albion,away,Tom Heaton - Matthew Lowton - James Tarkowski - Ben Mee - Stephen Ward - Jack Cork - Jóhann Gudmundsson - Robbie Brady - Steven Defour - Sam Vokes - Jeff Hendrick - ,Ben Foster - Allan-Roméo Nyom - Chris Brunt - Craig Dawson - Ahmed Hegazi - Jake Livermore - Matt Phillips - James McClean - Gareth Barry - Sam Field - Jay Rodriguez - 
Huddersfield Town,Newcastle United,home,Jonas Lössl - Tommy Smith - Chris Löwe - Zanka - Christopher Schindler - Philip Billing - Elias Kachunga - Aaron Mooy - Tom Ince - Rajiv van La Parra - Steve Mounie - ,Robert Elliot - Ciaran Clark - Jamaal Lascelles - Chancel Mbemba - Javier Manquillo - Matt Ritchie - Isaac Hayden - Ayoze Pérez - Mikel Merino - Christian Atsu - Dwight Gayle - 
Leicester City,Brighton and Hove Albion,home,Kasper Schmeichel - Danny Simpson - Wes Morgan - Harry Maguire - Christian Fuchs - Marc Albrighton - Matty James - Wilfred Ndidi - Riyad Mahrez - Jamie Vardy - Shinji Okazaki - ,Mat Ryan - Bruno - Shane Duffy - Lewis Dunk - Markus Suttner - Dale Stephens - Jamie Murphy - Solly March - Davy Pröpper - Pascal Groß - Glenn Murray - 
Liverpool,Crystal Palace,home,Simon Mignolet - Joseph Gomez - Ragnar Klavan - Andrew Robertson - Joel Matip - Georginio Wijnaldum - James Milner - Jordan Henderson - Roberto Firmino - Sadio Mané - Daniel Sturridge - ,Wayne Hennessey - James Tomkins - Scott Dann - Timothy Fosu-Mensah - Joel Ward - Patrick van Aanholt - Luka Milivojevic - Ruben Loftus-Cheek - Jason Puncheon - Andros Townsend - Christian Benteke - 
Manchester City,Everton,tie,Ederson - Vincent Kompany - John Stones - Nicolás Otamendi - Kyle Walker  - Kevin De Bruyne - Leroy Sané - David Silva - Fernandinho - Gabriel Jesus - Sergio Agüero - ,Jordan Pickford - Michael Keane - Ashley Williams - Phil Jagielka - Leighton Baines - Idrissa Gueye - Morgan Schneiderlin  - Tom Davies - Mason Holgate - Dominic Calvert-Lewin - Wayne Rooney  - 
Stoke City,Arsenal,home,Jack Butland - Kurt Zouma - Ryan Shawcross - Geoff Cameron - Erik Pieters - Joe Allen - Mame Biram Diouf - Darren Fletcher - Eric Maxim Choupo-Moting - Jesé - Xherdan Shaqiri - ,Petr Cech - Nacho Monreal - Shkodran Mustafi - Sead Kolasinac - Héctor Bellerín - Aaron Ramsey - Alex Oxlade-Chamberlain - Granit Xhaka - Alexandre Lacazette - Mesut Özil - Danny Welbeck - 
Swansea City,Manchester United,away,Lukasz Fabianski - Alfie Mawson - Federico Fernández - Kyle Bartley - Martin Olsson - Leroy Fer - Tom Carroll - Kyle Naughton - Roque Mesa - Tammy Abraham - Jordan Ayew - ,David de Gea - Eric Bailly - Phil Jones - Daley Blind - Luis Antonio Valencia - Paul Pogba  - Juan Mata - Marcus Rashford - Henrikh Mkhitaryan - Nemanja Matic - Romelu Lukaku - 
Tottenham Hotspur,Chelsea,away,Hugo Lloris - Kieran Trippier - Toby Alderweireld - Jan Vertonghen - Ben Davies - Victor Wanyama - Eric Dier - Mousa Dembélé - Dele Alli - Christian Eriksen - Harry Kane - ,Thibaut Courtois - Antonio Rüdiger - Andreas Christensen - César Azpilicueta - Marcos Alonso   - N'Golo Kanté - Tiemoué Bakayoko - Victor Moses - David Luiz - Willian - Álvaro Morata - 
Southampton,West Ham United,home,Fraser Forster - Cédric Soares - Maya Yoshida - Jack Stephens - Ryan Bertrand - Steven Davis - Dusan Tadic Pen. Scored - Oriol Romeu - Mario Lemina - Nathan Redmond - Manolo Gabbiadini - ,Joe Hart - Aaron Cresswell - José Fonte - Pablo Zabaleta - Angelo Ogbonna - Marko Arnautovic - Mark Noble - André Ayew - Michail Antonio - Declan Rice - Chicharito  - 
AFC Bournemouth,Manchester City,away,Asmir Begovic - Steve Cook - Nathan Aké - Charlie Daniels - Adam Smith - Tyrone Mings - Dan Gosling - Andrew Surman - Harry Arter - Joshua King - Jermain Defoe - ,Ederson - Danilo - Vincent Kompany - Benjamin Mendy - Nicolás Otamendi - Kevin De Bruyne - David Silva - Fernandinho - Raheem Sterling   - Gabriel Jesus - Bernardo Silva - 
Chelsea,Everton,home,Thibaut Courtois - Antonio Rüdiger - César Azpilicueta - David Luiz - Marcos Alonso - Cesc Fàbregas - N'Golo Kanté - Victor Moses - Willian - Pedro - Álvaro Morata - ,Jordan Pickford - Ashley Williams - Michael Keane - Phil Jagielka - Leighton Baines - Idrissa Gueye - Tom Davies - Mason Holgate - Sandro Ramírez - Gylfi Sigurdsson - Wayne Rooney - 
Crystal Palace,Swansea City,away,Wayne Hennessey - James Tomkins - Scott Dann - Timothy Fosu-Mensah - Joel Ward - Patrick van Aanholt - Luka Milivojevic - James McArthur - Jason Puncheon - Andros Townsend - Christian Benteke - ,Lukasz Fabianski - Mike van der Hoorn - Federico Fernández - Alfie Mawson - Martin Olsson - Leroy Fer - Tom Carroll - Sam Clucas - Kyle Naughton - Tammy Abraham - Jordan Ayew - 
Huddersfield Town,Southampton,tie,Jonas Lössl - Tommy Smith - Chris Löwe - Zanka - Christopher Schindler - Philip Billing - Elias Kachunga - Aaron Mooy - Tom Ince - Rajiv van La Parra - Steve Mounie - ,Fraser Forster - Cédric Soares - Maya Yoshida - Jack Stephens - Ryan Bertrand - Steven Davis - Dusan Tadic - Oriol Romeu - Mario Lemina - Nathan Redmond - Manolo Gabbiadini - 
Liverpool,Arsenal,home,Loris Karius - Dejan Lovren - Joseph Gomez - Alberto Moreno - Joel Matip - Georginio Wijnaldum - Jordan Henderson - Emre Can - Roberto Firmino - Sadio Mané - Mohamed Salah - ,Petr Cech - Laurent Koscielny - Rob Holding - Nacho Monreal - Héctor Bellerín - Aaron Ramsey - Alex Oxlade-Chamberlain - Granit Xhaka - Alexis Sánchez - Mesut Özil - Danny Welbeck - 
Manchester United,Leicester City,home,David de Gea - Eric Bailly - Phil Jones - Daley Blind - Luis Antonio Valencia - Paul Pogba - Juan Mata - Anthony Martial - Henrikh Mkhitaryan - Nemanja Matic - Romelu Lukaku - ,Kasper Schmeichel - Danny Simpson - Wes Morgan - Harry Maguire - Christian Fuchs - Marc Albrighton - Matty James - Wilfred Ndidi - Riyad Mahrez - Jamie Vardy - Shinji Okazaki - 
Newcastle United,West Ham United,home,Robert Elliot - Ciaran Clark - Jamaal Lascelles - Chancel Mbemba - Javier Manquillo - Matt Ritchie - Isaac Hayden - Ayoze Pérez - Mikel Merino - Christian Atsu - Joselu - ,Joe Hart - Aaron Cresswell - Pablo Zabaleta - James Collins - Angelo Ogbonna - Mark Noble - André Ayew - Michail Antonio - Edimilson Fernandes - Declan Rice - Chicharito - 
Tottenham Hotspur,Burnley,tie,Hugo Lloris - Kieran Trippier - Toby Alderweireld - Jan Vertonghen - Ben Davies - Son Heung-Min - Eric Dier - Mousa Dembélé - Dele Alli - Christian Eriksen - Harry Kane - ,Tom Heaton - Matthew Lowton - James Tarkowski - Ben Mee - Stephen Ward - Jack Cork - Jóhann Gudmundsson - Robbie Brady - Steven Defour - Sam Vokes - Scott Arfield - 
Watford,Brighton and Hove Albion,tie,Heurelho Gomes - Miguel Britos - Sebastian Prödl - Kiko Femenía - Christian Kabasele - Tom Cleverley - Nathaniel Chalobah - Abdoulaye Doucouré - Nordin Amrabat - Richarlison - Andre Gray - ,Mat Ryan - Bruno - Shane Duffy - Lewis Dunk - Markus Suttner - Dale Stephens - Anthony Knockaert - Solly March - Davy Pröpper - Pascal Groß - Tomer Hemed - 
West Bromwich Albion,Stoke City,tie,Ben Foster - Allan-Roméo Nyom - Chris Brunt - Craig Dawson - Ahmed Hegazi - James Morrison - Jake Livermore - Matt Phillips - Gareth Barry - Jay Rodriguez  - Salomón Rondón - ,Jack Butland - Kurt Zouma - Bruno Martins Indi - Ryan Shawcross - Erik Pieters - Joe Allen - Geoff Cameron - Darren Fletcher - Eric Maxim Choupo-Moting - Jesé - Xherdan Shaqiri - 
Arsenal,AFC Bournemouth,home,Petr Cech - Laurent Koscielny - Nacho Monreal - Shkodran Mustafi - Héctor Bellerín - Aaron Ramsey - Sead Kolasinac - Granit Xhaka - Alexandre Lacazette - Mesut Özil - Danny Welbeck  - ,Asmir Begovic - Steve Cook - Nathan Aké - Tyrone Mings - Dan Gosling - Harry Arter - Charlie Daniels - Adam Smith - Ryan Fraser - Joshua King - Jermain Defoe - 
Brighton and Hove Albion,West Bromwich Albion,home,Mat Ryan - Bruno - Shane Duffy - Lewis Dunk - Markus Suttner - Dale Stephens - Anthony Knockaert - Solly March - Davy Pröpper - Pascal Groß  - Tomer Hemed - ,Ben Foster - Allan-Roméo Nyom - Jonny Evans - Craig Dawson - Ahmed Hegazi - Jake Livermore - Matt Phillips - Gareth Barry - Jay Rodriguez - Grzegorz Krychowiak - Salomón Rondón - 
Burnley,Crystal Palace,home,Tom Heaton - Matthew Lowton - James Tarkowski - Ben Mee - Stephen Ward - Jack Cork - Jóhann Gudmundsson - Robbie Brady - Steven Defour - Chris Wood - Sam Vokes - ,Wayne Hennessey - Joel Ward - Scott Dann - Jeffrey Schlupp - Timothy Fosu-Mensah - Yohan Cabaye - James McArthur - Jason Puncheon - Andros Townsend - Chung-Yong Lee - Christian Benteke - 
Everton,Tottenham Hotspur,away,Jordan Pickford - Leighton Baines - Ashley Williams - Michael Keane - Cuco Martina - Gylfi Sigurdsson - Wayne Rooney - Idrissa Gueye - Morgan Schneiderlin - Davy Klaassen - Sandro Ramírez - ,Hugo Lloris - Toby Alderweireld - Jan Vertonghen - Davinson Sánchez - Kieran Trippier - Eric Dier - Moussa Sissoko - Christian Eriksen - Ben Davies - Harry Kane  - Dele Alli - 
Leicester City,Chelsea,away,Kasper Schmeichel - Danny Simpson - Wes Morgan - Harry Maguire - Christian Fuchs - Marc Albrighton - Matty James - Wilfred Ndidi - Riyad Mahrez - Jamie VardyPen. Scored - Islam Slimani - ,Thibaut Courtois - Antonio Rüdiger - César Azpilicueta - David Luiz - Marcos Alonso - N'Golo Kanté - Tiemoué Bakayoko - Victor Moses - Cesc Fàbregas - Pedro - Álvaro Morata - 
Manchester City,Liverpool,home,Ederson - Danilo - John Stones - Nicolás Otamendi - Kyle Walker - Kevin De Bruyne - David Silva - Benjamin Mendy - Fernandinho - Gabriel Jesus  - Sergio Agüero - ,Simon Mignolet - Ragnar Klavan - Alberto Moreno - Joel Matip - Trent Alexander-Arnold - Georginio Wijnaldum - Jordan Henderson - Emre Can - Roberto Firmino - Sadio Mané - Mohamed Salah - 
Southampton,Watford,away,Fraser Forster - Cédric Soares - Jack Stephens - Wesley Hoedt - Ryan Bertrand - Steven Davis - Oriol Romeu - James Ward-Prowse - Sofiane Boufal - Nathan Redmond - Manolo Gabbiadini - ,Heurelho Gomes - Younes Kaboul - Kiko Femenía - José Holebas - Christian Kabasele - Tom Cleverley - Richarlison - Nathaniel Chalobah - Abdoulaye Doucouré - André Carrillo - Andre Gray - 
Stoke City,Manchester United,tie,Jack Butland - Kevin Wimmer - Kurt Zouma - Geoff Cameron - Erik Pieters - Joe Allen - Mame Biram Diouf - Darren Fletcher - Eric Maxim Choupo-Moting  - Jesé - Xherdan Shaqiri - ,David de Gea - Eric Bailly - Phil Jones - Luis Antonio Valencia - Matteo Darmian - Paul Pogba - Ander Herrera - Nemanja Matic - Romelu Lukaku - Marcus Rashford - Henrikh Mkhitaryan - 
Swansea City,Newcastle United,away,Lukasz Fabianski - Martin Olsson - Alfie Mawson - Federico Fernández - Kyle Naughton - Leroy Fer - Tom Carroll - Sam Clucas - Renato Sanches - Tammy Abraham - Jordan Ayew - ,Robert Elliot - Ciaran Clark - Jamaal Lascelles - Javier Manquillo - Jesús Gámez - Jacob Murphy - Matt Ritchie - Isaac Hayden - Ayoze Pérez - Mikel Merino - Joselu - 
West Ham United,Huddersfield Town,home,Joe Hart - José Fonte - Winston Reid - James Collins - Aaron Cresswell - Pablo Zabaleta - Cheikhou Kouyaté - Pedro Obiang - Chicharito - Andy Carroll - Michail Antonio - ,Jonas Lössl - Tommy Smith - Chris Löwe - Zanka - Christopher Schindler - Philip Billing - Elias Kachunga - Aaron Mooy - Tom Ince - Rajiv van La Parra - Steve Mounie - 
AFC Bournemouth,Brighton and Hove Albion,home,Asmir Begovic - Simon Francis - Nathan Aké - Charlie Daniels - Adam Smith - Andrew Surman - Marc Pugh - Harry Arter - Ryan Fraser - Joshua King - Jermain Defoe - ,Mat Ryan - Shane Duffy - Lewis Dunk - Liam Rosenior - Markus Suttner - Dale Stephens - Anthony Knockaert - Solly March - Davy Pröpper - Pascal Groß - Tomer Hemed - 
Chelsea,Arsenal,tie,Thibaut Courtois - Gary Cahill - César Azpilicueta - David Luiz  - Marcos Alonso - Cesc Fàbregas - N'Golo Kanté - Victor Moses - Willian - Pedro - Álvaro Morata - ,Petr Cech - Laurent Koscielny - Nacho Monreal - Shkodran Mustafi - Héctor Bellerín - Aaron Ramsey - Sead Kolasinac - Granit Xhaka - Alexandre Lacazette - Alex Iwobi - Danny Welbeck - 
Crystal Palace,Southampton,away,Wayne Hennessey - Joel Ward - Scott Dann - Jeffrey Schlupp - Timothy Fosu-Mensah - Yohan Cabaye - Andros Townsend - James McArthur - Jason Puncheon - Ruben Loftus-Cheek - Christian Benteke - ,Fraser Forster - Cédric Soares - Maya Yoshida - Wesley Hoedt - Ryan Bertrand - Steven Davis - Dusan Tadic - Oriol Romeu - Mario Lemina - Nathan Redmond - Shane Long - 
Huddersfield Town,Leicester City,tie,Jonas Lössl - Tommy Smith - Chris Löwe - Zanka - Christopher Schindler - Elias Kachunga - Aaron Mooy - Tom Ince - Danny Williams - Abdelhamid Sabiri - Laurent Depoitre - ,Kasper Schmeichel - Danny Simpson - Ben Chilwell - Wes Morgan - Harry Maguire - Andy King - Marc Albrighton - Wilfred Ndidi - Riyad Mahrez - Jamie VardyPen. Scored - Kelechi Iheanacho - 
Liverpool,Burnley,tie,Simon Mignolet - Ragnar Klavan - Andrew Robertson - Joel Matip - Trent Alexander-Arnold - James Milner - Philippe Coutinho - Emre Can - Roberto Firmino - Mohamed Salah - Daniel Sturridge - ,Nick Pope - Matthew Lowton - James Tarkowski - Ben Mee - Stephen Ward - Jack Cork - Jóhann Gudmundsson - Robbie Brady - Steven Defour - Chris Wood - Scott Arfield - 
Manchester United,Everton,home,David de Gea - Eric Bailly - Phil Jones - Ashley Young - Luis Antonio Valencia - Juan Mata - Marcus Rashford - Henrikh Mkhitaryan - Marouane Fellaini - Nemanja Matic - Romelu Lukaku - ,Jordan Pickford - Ashley Williams - Michael Keane - Phil Jagielka - Leighton Baines - Cuco Martina - Idrissa Gueye - Morgan Schneiderlin - Gylfi Sigurdsson - Wayne Rooney - Tom Davies - 
Newcastle United,Stoke City,home,Robert Elliot - Ciaran Clark - Jamaal Lascelles - Chancel Mbemba - DeAndre Yedlin - Matt Ritchie - Isaac Hayden - Ayoze Pérez - Mikel Merino - Christian Atsu - Joselu - ,Jack Butland - Kevin Wimmer - Kurt Zouma - Bruno Martins Indi - Erik Pieters - Joe Allen - Mame Biram Diouf - Darren Fletcher - Eric Maxim Choupo-Moting - Jesé - Xherdan Shaqiri - 
Tottenham Hotspur,Swansea City,tie,Hugo Lloris - Toby Alderweireld - Jan Vertonghen - Davinson Sánchez - Kieran Trippier - Son Heung-Min - Eric Dier - Moussa Sissoko - Christian Eriksen - Harry Kane - Dele Alli - ,Lukasz Fabianski - Mike van der Hoorn - Alfie Mawson - Federico Fernández - Martin Olsson - Tom Carroll - Sam Clucas - Kyle Naughton - Renato Sanches - Tammy Abraham - Jordan Ayew - 
Watford,Manchester City,away,Heurelho Gomes - Daryl Janmaat - Adrian Mariappa - José Holebas - Christian Kabasele - Tom Cleverley - Richarlison - Nathaniel Chalobah - Abdoulaye Doucouré - André Carrillo - Andre Gray - ,Ederson - Kyle Walker - John Stones - Benjamin Mendy - Nicolás Otamendi - Kevin De Bruyne - David Silva - Fernandinho - Raheem SterlingPen. Scored - Gabriel Jesus - Sergio Agüero   - 
West Bromwich Albion,West Ham United,tie,Ben Foster - Kieran Gibbs - Jonny Evans - Craig Dawson - Ahmed Hegazi - James Morrison - Matt Phillips - Chris Brunt - Gareth Barry - Grzegorz Krychowiak - Jay Rodriguez - ,Joe Hart - José Fonte - Winston Reid - James Collins - Aaron Cresswell - Pablo Zabaleta - Cheikhou Kouyaté - Pedro Obiang - Chicharito - Andy Carroll - Michail Antonio - 
Arsenal,West Bromwich Albion,home,Petr Cech - Laurent Koscielny - Nacho Monreal - Shkodran Mustafi - Héctor Bellerín - Mohamed Elneny - Sead Kolasinac - Granit Xhaka - Alexis Sánchez - Aaron Ramsey - Alexandre Lacazette Pen. Scored - ,Ben Foster - Jonny Evans - Craig Dawson - Ahmed Hegazi - Allan-Roméo Nyom - Kieran Gibbs - Jake Livermore - Gareth Barry - Grzegorz Krychowiak - Hal Robson-Kanu - Jay Rodriguez - 
Brighton and Hove Albion,Newcastle United,home,Mat Ryan - Bruno - Shane Duffy - Lewis Dunk - Markus Suttner - Dale Stephens - Anthony Knockaert - Solly March - Davy Pröpper - Pascal Groß - Tomer Hemed - ,Robert Elliot - Ciaran Clark - Jamaal Lascelles - Chancel Mbemba - DeAndre Yedlin - Matt Ritchie - Isaac Hayden - Ayoze Pérez - Mikel Merino - Christian Atsu - Joselu - 
Burnley,Huddersfield Town,tie,Nick Pope - Matthew Lowton - James Tarkowski - Ben Mee - Stephen Ward - Jack Cork - Robbie Brady - Jeff Hendrick - Steven Defour - Scott Arfield - Chris Wood - ,Jonas Lössl - Tommy Smith - Chris Löwe - Zanka - Christopher Schindler - Jonathan Hogg - Elias Kachunga - Aaron Mooy - Tom Ince - Abdelhamid Sabiri - Laurent Depoitre - 
Everton,AFC Bournemouth,home,Jordan Pickford - Leighton Baines - Ashley Williams - Cuco Martina - Mason Holgate - Idrissa Gueye - Morgan Schneiderlin - Davy Klaassen - Dominic Calvert-Lewin - Wayne Rooney - Gylfi Sigurdsson - ,Asmir Begovic - Simon Francis - Nathan Aké - Charlie Daniels - Adam Smith - Dan Gosling - Andrew Surman - Jordon Ibe - Junior Stanislas - Joshua King - Jermain Defoe - 
Leicester City,Liverpool,away,Kasper Schmeichel - Danny Simpson - Ben Chilwell - Wes Morgan - Harry Maguire - Andy King - Marc Albrighton - Wilfred Ndidi - Riyad Mahrez - Jamie Vardy  - Shinji Okazaki - ,Simon Mignolet - Dejan Lovren - Joseph Gomez - Alberto Moreno - Joel Matip - Georginio Wijnaldum - Jordan Henderson - Emre Can - Roberto Firmino - Philippe Coutinho - Mohamed Salah - 
Manchester City,Crystal Palace,home,Ederson - Kyle Walker - John Stones - Benjamin Mendy - Nicolás Otamendi - Kevin De Bruyne - David Silva - Fernandinho - Raheem Sterling  - Sergio Agüero - Leroy Sané  - ,Wayne Hennessey - Patrick van Aanholt - Scott Dann - Mamadou Sakho - Timothy Fosu-Mensah - Luka Milivojevic - Yohan Cabaye - Ruben Loftus-Cheek - Andros Townsend - Jeffrey Schlupp - Christian Benteke - 
Southampton,Manchester United,away,Fraser Forster - Cédric Soares - Maya Yoshida - Wesley Hoedt - Ryan Bertrand - Steven Davis - Dusan Tadic - Oriol Romeu - Mario Lemina - Nathan Redmond - Shane Long - ,David de Gea - Eric Bailly - Phil Jones - Ashley Young - Luis Antonio Valencia - Juan Mata - Marcus Rashford - Henrikh Mkhitaryan - Marouane Fellaini - Nemanja Matic - Romelu Lukaku  - 
